model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,batch-repeat,assert,date
ssca2,1048577,157877986,1,3,1294.422331,100000,0,2574.954167,1587626,1677465,125964302,12000872,-1,-1,2021-09-29.17:16:46
wiki-links,5710993,130160392,1,3,10762.024534,100000,0,883.359617,185499,214793,54970201,765162,-1,-1,2021-09-29.17:19:28
wikitalk,2394385,5021410,1,3,578.795067,100000,0,261.477077,100568,109187,14267467,1080937,-1,-1,2021-09-29.17:19:32
wiki_talk_en,2987536,24981163,1,3,855.539628,100000,0,380.785419,99843,109972,21894281,960647,-1,-1,2021-09-29.17:19:40
ba-1m-8m,1000000,7999964,1,13,841.290401,100000,0,266.856053,22186,156495,1707594,104553,4,-1,2021-09-29.17:19:45
baidu,2141301,17794839,1,13,1560.477363,100000,0,270.127571,98875,123406,8294600,112817,5,-1,2021-09-29.17:20:16
dbpedia,3966925,13820853,1,13,1846.130105,100000,0,167.541526,101196,124869,1664320,115174,3,-1,2021-09-29.17:20:36
er-1m-8m,1000000,8000000,1,13,920.901321,100000,0,128.091969,39630,62495,629609,53470,4,-1,2021-09-29.17:20:46
livej,4847571,68993773,1,13,5391.002075,100000,0,370.100786,114214,154059,10420846,137676,7,[0m,,2021-09-29.17:21:47
patent,6009555,16518948,1,13,3702.500947,100000,0,283.934965,107195,173041,2255107,149546,3,-1,2021-09-29.17:22:25
pokec,1632804,30622564,1,13,2233.805894,100000,0,291.524870,86227,133724,5226316,115108,4,-1,2021-09-29.17:22:56
rmat-1m-8m,999760,7810950,1,13,479.326461,100000,0,335.851170,100605,119037,25665055,110708,10,-1,2021-09-29.17:23:00
ssca2,1048577,157877986,1,13,1305.019420,100000,0,2071.248353,1591970,1595567,121047623,2359220,5,-1,2021-09-29.17:24:14
wiki-links,-1,-1,1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-09-29.17:54:14
wikitalk,2394385,5021410,1,13,629.056867,100000,0,252.420833,100646,105572,12355898,103366,9,-1,2021-09-29.17:54:18
wiki_talk_en,2987536,24981163,1,13,1225.027353,100000,0,386.209020,100007,105166,18617515,102839,10,[0m,,2021-09-29.17:54:26
ba-1m-8m,1000000,7999964,1,2,802.573765,100000,0,1650.178719,21937,111047,1851280,0,-1,-1,2021-09-29.17:54:44
baidu,2141301,17794839,1,2,1611.940515,100000,0,440.095516,97732,118526,9825422,0,-1,-1,2021-09-29.17:55:18
dbpedia,3966925,13820853,1,2,2087.302535,100000,0,364.515034,101936,118637,1824253,0,-1,-1,2021-09-29.17:55:53
er-1m-8m,1000000,8000000,1,2,965.328545,100000,0,370.217972,39226,55068,662842,0,-1,-1,2021-09-29.17:56:15
livej,4847571,68993773,1,2,4987.313779,100000,0,620.138334,112403,140493,11057833,0,-1,-1,2021-09-29.17:57:23
patent,6009555,16518948,1,2,3545.426994,100000,0,790.939460,109349,159660,2505421,0,-1,-1,2021-09-29.17:58:09
pokec,1632804,30622564,1,2,1995.034137,100000,0,625.193822,85069,125330,5974033,0,-1,-1,2021-09-29.17:58:45
rmat-1m-8m,999760,7810950,1,2,501.832685,100000,0,368.099706,99947,119940,28645868,0,-1,-1,2021-09-29.17:58:52
ssca2,1048577,157877986,1,2,1237.144536,100000,0,2446.110171,1594704,1655176,125775133,0,-1,-1,2021-09-29.18:00:14
wiki-links,5710993,130160392,1,2,8647.941741,100000,0,1173.703778,188478,204343,56791125,0,-1,-1,2021-09-29.18:03:03
wikitalk,2394385,5021410,1,2,709.342384,100000,0,684.556238,100707,105893,14455266,0,-1,-1,2021-09-29.18:03:08
wiki_talk_en,2987536,24981163,1,2,1115.880388,100000,0,490.647777,99883,105491,21325478,0,-1,-1,2021-09-29.18:03:17
ba-1m-8m,1000000,7999964,1,3,745.253470,0,100000,45.567790,22202,0,155777,22202,-1,-1,2021-09-29.18:03:22
baidu,2141301,17794839,1,3,1559.435062,0,100000,282.809496,97918,0,5802578,97918,-1,-1,2021-09-29.18:03:53
dbpedia,3966925,13820853,1,3,1876.411594,0,100000,74467.462722,101209,0,1120579,101209,-1,-1,2021-09-29.18:05:27
er-1m-8m,1000000,8000000,1,3,1016.997422,0,100000,51.887201,40012,0,440489,40012,-1,-1,2021-09-29.18:05:38
livej,4847571,68993773,1,3,5558.814432,0,100000,16583.011692,113132,0,8253548,113132,-1,-1,2021-09-29.18:06:56
patent,6009555,16518948,1,3,3533.026179,0,100000,103.992656,107612,0,1505988,107612,-1,-1,2021-09-29.18:07:34
pokec,1632804,30622564,1,3,2301.406095,0,100000,149.998959,86262,0,3404175,86262,-1,-1,2021-09-29.18:08:05
rmat-1m-8m,999760,7810950,1,3,483.300748,0,100000,471.864882,100599,0,22790034,100599,-1,-1,2021-09-29.18:08:09
ssca2,1048577,157877986,1,3,1283.362404,0,100000,1230.122403,1587213,0,120323786,1587213,-1,-1,2021-09-29.18:09:22
wiki-links,5710993,130160392,1,3,9675.885644,0,100000,1300.376612,186210,0,55311434,186210,-1,-1,2021-09-29.18:12:04
wikitalk,2394385,5021410,1,3,590.733145,0,100000,400.659191,100611,0,11102343,100611,-1,-1,2021-09-29.18:12:08
wiki_talk_en,2987536,24981163,1,3,873.871029,0,100000,146326.296474,99973,0,17021386,99973,-1,-1,2021-09-29.18:14:41
ba-1m-8m,1000000,7999964,1,2,747.338267,0,100000,2759.886942,21989,0,308458,0,-1,-1,2021-09-29.18:15:00
baidu,2141301,17794839,1,2,1625.448731,0,100000,463.176376,99172,0,12225416,0,-1,-1,2021-09-29.18:15:33
dbpedia,3966925,13820853,1,2,2088.362722,0,100000,1126.300636,101785,0,2107252,0,-1,-1,2021-09-29.18:16:08
er-1m-8m,1000000,8000000,1,2,961.473179,0,100000,577.277463,39411,0,867480,0,-1,-1,2021-09-29.18:16:29
livej,4847571,68993773,1,2,4954.399160,0,100000,436.807734,111734,0,16641554,0,-1,-1,2021-09-29.18:17:36
patent,6009555,16518948,1,2,3566.916258,0,100000,451.427216,106548,0,2995558,0,-1,-1,2021-09-29.18:18:23
pokec,1632804,30622564,1,2,1942.668831,0,100000,425.004713,85691,0,6849910,0,-1,-1,2021-09-29.18:18:58
rmat-1m-8m,999760,7810950,1,2,515.409024,0,100000,437.108113,100444,0,45358672,0,-1,-1,2021-09-29.18:19:03
ssca2,1048577,157877986,1,2,1289.375539,0,100000,2121.380580,1592707,0,241010110,0,-1,-1,2021-09-29.18:20:25
wiki-links,5710993,130160392,1,2,8840.946775,0,100000,1280.233472,187346,0,99358268,0,-1,-1,2021-09-29.18:23:13
wikitalk,2394385,5021410,1,2,712.557950,0,100000,31125.816874,100528,0,21890878,0,-1,-1,2021-09-29.18:23:48
wiki_talk_en,2987536,24981163,1,2,1242.541634,0,100000,901.455320,101212,0,42277908,0,-1,-1,2021-09-29.18:23:58
ba-1m-8m,1000000,7999964,1,3,817.435200,100000,0,184.168300,22146,166288,1854273,371815,-1,-1,2021-09-29.18:24:04
baidu,2141301,17794839,1,3,1797.088844,100000,0,267.903193,98615,132440,10008225,810508,-1,-1,2021-09-29.18:24:35
dbpedia,3966925,13820853,1,3,1881.991259,100000,0,147.569604,101492,128716,1649362,1136186,-1,-1,2021-09-29.18:24:54
er-1m-8m,1000000,8000000,1,3,1055.273668,100000,0,92.586328,39513,67472,669113,438068,-1,-1,2021-09-29.18:25:05
livej,4847571,68993773,1,3,5438.053719,100000,0,304.479560,112586,158804,11466169,769159,-1,-1,2021-09-29.18:26:07
patent,6009555,16518948,1,3,3458.826526,100000,0,231.871747,108666,185029,2485745,1026767,-1,-1,2021-09-29.18:26:45
pokec,1632804,30622564,1,3,2166.500027,100000,0,240.761158,85585,147232,6007267,725971,-1,-1,2021-09-29.18:27:16
rmat-1m-8m,999760,7810950,1,3,519.004276,100000,0,329.846275,100809,134468,31412315,639807,-1,-1,2021-09-29.18:27:21
ssca2,1048577,157877986,1,3,1262.401800,100000,0,2592.437408,1596882,1687366,126497715,12038968,-1,-1,2021-09-29.18:28:35
wiki-links,5710993,130160392,1,3,10436.154916,100000,0,884.397212,187074,215527,56259341,762379,-1,-1,2021-09-29.18:31:17
wikitalk,2394385,5021410,1,3,587.951584,100000,0,265.682144,100648,109394,14468089,1058595,-1,-1,2021-09-29.18:31:21
wiki_talk_en,2987536,24981163,1,3,877.770306,100000,0,370.170843,99992,109877,21703558,936468,-1,-1,2021-09-29.18:31:28
ba-1m-8m,1000000,7999964,1,13,727.871263,100000,0,1613.542134,22191,156914,1707542,104918,4,-1,2021-09-29.18:31:35
baidu,2141301,17794839,1,13,1592.086801,100000,0,264.590154,98265,122761,7882394,112221,4,[0m,,2021-09-29.18:32:06
dbpedia,3966925,13820853,1,13,1919.116215,100000,0,169.414492,101467,125790,1636013,116077,4,-1,2021-09-29.18:32:25
er-1m-8m,1000000,8000000,1,13,997.232960,100000,0,131.539180,39701,63015,634579,53934,4,-1,2021-09-29.18:32:36
livej,4847571,68993773,1,13,5180.708121,100000,0,371.905022,112662,152527,10134912,136088,4,[0m,,2021-09-29.18:33:36
patent,-1,-1,1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-09-29.19:03:36
pokec,1632804,30622564,1,13,2286.217233,100000,0,287.891380,86303,133605,5163925,115025,4,-1,2021-09-29.19:04:08
rmat-1m-8m,999760,7810950,1,13,495.379866,100000,0,304.272520,99578,117879,23276105,109664,10,-1,2021-09-29.19:04:12
ssca2,1048577,157877986,1,13,1305.369538,100000,0,2182.100459,1592971,1595962,120884563,2351563,6,-1,2021-09-29.19:05:25
wiki-links,5710993,130160392,1,13,10777.520529,100000,0,1124.994142,190403,213103,54211115,203146,6,-1,2021-09-29.19:08:14
wikitalk,2394385,5021410,1,13,575.350439,100000,0,234.069435,100016,104777,10742345,102641,8,-1,2021-09-29.19:08:18
wiki_talk_en,2987536,24981163,1,13,873.050773,100000,0,351.143028,99944,105095,18976437,102768,9,-1,2021-09-29.19:08:25
ba-1m-8m,1000000,7999964,1,2,891.238306,100000,0,1424.296307,21926,111883,1867117,0,-1,-1,2021-09-29.19:08:43
baidu,2141301,17794839,1,2,1599.905088,100000,0,507.252298,103473,124534,14528600,0,-1,-1,2021-09-29.19:09:16
dbpedia,3966925,13820853,1,2,2070.312941,100000,0,358.774870,100906,117265,1624887,0,-1,-1,2021-09-29.19:09:48
er-1m-8m,1000000,8000000,1,2,972.662189,100000,0,372.562285,39576,55226,664772,0,-1,-1,2021-09-29.19:10:09
livej,4847571,68993773,1,2,4963.703878,100000,0,608.733173,113138,141144,11181358,0,-1,-1,2021-09-29.19:11:18
patent,6009555,16518948,1,2,3522.103903,100000,0,780.211512,107598,158198,2420452,0,-1,-1,2021-09-29.19:12:05
pokec,1632804,30622564,1,2,1954.718195,100000,0,620.014295,86166,126114,6027106,0,-1,-1,2021-09-29.19:12:40
