model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,assert,date
dbpedia,3966925,13820853,1,2,1618.792826,100000,0,324.133137,101268,118403,1734132,0,-1,2021-09-15.23:23:14
er-1m-8m,1000000,8000000,1,2,1068.778904,100000,0,337.788862,40037,55714,669955,0,-1,2021-09-15.23:23:32
livej,4847571,68993773,1,2,4699.120420,100000,0,498.570341,112065,139524,11068163,0,-1,2021-09-15.23:24:29
patent,6009555,16518948,1,2,3337.320406,100000,0,665.359785,106525,156929,2424162,0,-1,2021-09-15.23:25:10
pokec,1632804,30622564,1,2,1755.960940,100000,0,514.569417,86178,126189,5974112,0,-1,2021-09-15.23:25:38
rmat-1m-8m,999760,7810950,1,2,414.886913,100000,0,350.438131,100622,120445,30523874,0,-1,2021-09-15.23:25:44
roadNetCA,1971281,5533214,1,2,594.075155,100000,0,452.351548,61008,204280,619251,0,-1,2021-09-15.23:25:51
ssca2,1048577,157877986,1,2,1217.107258,100000,0,2163.579152,1593255,1654037,125582446,0,-1,2021-09-15.23:26:55
wiki-links,5710993,130160392,1,2,9279.837459,100000,0,1063.694079,189520,206756,57767310,0,-1,2021-09-15.23:29:17
wikitalk,2394385,5021410,1,2,531.300455,100000,0,297.915750,100608,106191,14794555,0,-1,2021-09-15.23:29:21
wiki_talk_en,2987536,24981163,1,2,745.190578,100000,0,402.477974,99972,105953,21736651,0,-1,2021-09-15.23:29:29
