model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,relabel,tag,subtag,assert,Insert,Delete,date
livej,4847571,42851237,16,4,4950.307845,100000,0,165.075969,112712,158384,6344928,9,12,28024,-1,-1,-1,2022-10-07.17:59:23
livej,4847571,42851237,16,4,4920.709288,0,100000,77.528219,103655,0,4035321,0,0,0,-1,-1,-1,2022-10-07.18:00:26
livej,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,568.729,532.032,2022-10-07.18:02:52
roadNetCA,1971281,2766607,16,4,811.309470,100000,0,70.666133,48973,250524,539936,148,154,147432,-1,-1,-1,2022-10-07.18:02:56
roadNetCA,1971281,2766607,16,4,812.110784,0,100000,32.218727,59479,0,94951,0,0,0,-1,-1,-1,2022-10-07.18:03:00
roadNetCA,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,429.859,152.072,2022-10-07.18:03:08
baidu,2141301,17014946,16,4,1527.537595,100000,0,123.602381,98418,132385,6539688,13,14,21508,-1,-1,-1,2022-10-07.18:03:39
baidu,2141301,17014946,16,4,1529.751819,0,100000,83.579358,92750,0,3035085,0,0,0,-1,-1,-1,2022-10-07.18:04:09
baidu,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,961.718,560.696,2022-10-07.18:05:06
dbpedia,3966925,12610982,16,4,1984.038134,100000,0,82.661328,98272,125007,1476365,5,5,16271,-1,-1,-1,2022-10-07.18:05:27
dbpedia,3966925,12610982,16,4,1957.352615,0,100000,448.432664,100900,0,1011449,0,0,0,-1,-1,-1,2022-10-07.18:05:47
dbpedia,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,729.16,430.979,2022-10-07.18:06:30
livej,4847571,42851237,16,4,4963.371326,100000,0,172.458665,112222,157858,6397443,14,15,27956,-1,-1,-1,2022-10-07.18:07:36
livej,4847571,42851237,16,4,4931.543911,0,100000,63.135068,101191,0,4230956,0,0,0,-1,-1,-1,2022-10-07.18:08:39
livej,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,521.342,534.673,2022-10-07.18:11:04
roadNetCA,1971281,2766607,16,4,830.650246,100000,0,66.553435,49504,249737,533372,115,124,146330,-1,-1,-1,2022-10-07.18:11:09
roadNetCA,1971281,2766607,16,4,829.689514,0,100000,30.720892,59197,0,95288,0,0,0,-1,-1,-1,2022-10-07.18:11:13
roadNetCA,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,442.148,150.468,2022-10-07.18:11:20
baidu,2141301,17014946,16,4,1527.490142,100000,0,126.883262,97639,132044,6251361,9,9,21675,-1,-1,-1,2022-10-07.18:11:51
baidu,2141301,17014946,16,4,1560.076234,0,100000,82.077233,93587,0,3185612,0,0,0,-1,-1,-1,2022-10-07.18:12:22
baidu,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,940.918,601.779,2022-10-07.18:13:21
dbpedia,3966925,12610982,16,4,1984.272732,100000,0,80.342309,98322,125799,1509543,7,7,16892,-1,-1,-1,2022-10-07.18:13:41
dbpedia,3966925,12610982,16,4,1968.262803,0,100000,443.958420,100863,0,1103253,0,0,0,-1,-1,-1,2022-10-07.18:14:01
