model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,assert,date
livej,4847571,68993773,1,2,4896.521619,0,100000,350.501603,112707,0,8276579,0,-1,2021-08-21.14:42:19
patent,6009555,16518948,1,2,3494.099138,0,100000,368.776625,107146,0,1523872,0,-1,2021-08-21.14:43:00
pokec,1632804,30622564,1,2,1858.637953,0,100000,339.414774,85933,0,3424795,0,-1,2021-08-21.14:43:28
rmat-1m-8m,999760,7810950,1,2,435.052217,0,100000,344.798680,99292,0,20308497,0,-1,2021-08-21.14:43:34
ssca2,1048577,157877986,1,2,1029.090336,0,100000,1700.338512,1588801,0,120341646,0,-1,2021-08-21.14:44:37
wiki-links,5710993,130160392,1,2,9672.503522,0,100000,1058.361283,187277,0,49442226,0,-1,2021-08-21.14:47:01
wikitalk,2394385,5021410,1,2,558.052135,0,100000,376.648102,100540,0,11078660,0,-1,2021-08-21.14:47:05
wiki_talk_en,2987536,24981163,1,2,787.421253,0,100000,671.493761,100294,0,17173913,0,-1,2021-08-21.14:47:14
ba-1m-8m,1000000,7999964,1,3,742.481618,0,100000,36.277724,22185,0,311250,22185,-1,2021-08-21.14:47:20
baidu,2141301,17794839,1,3,1335.596921,0,100000,308.715424,102750,0,20754286,102750,-1,2021-08-21.14:47:45
dbpedia,3966925,13820853,1,3,1620.898958,0,100000,565.245397,100841,0,2096966,100841,-1,2021-08-21.14:48:02
er-1m-8m,1000000,8000000,1,3,1099.477457,0,100000,41.463300,39642,0,872372,39642,-1,2021-08-21.14:48:11
livej,4847571,68993773,1,3,4837.963750,0,100000,185.931911,113788,0,18277118,113788,-1,2021-08-21.14:49:03
patent,6009555,16518948,1,3,3558.304153,0,100000,83.916823,107689,0,3015908,107689,-1,2021-08-21.14:49:36
pokec,1632804,30622564,1,3,1876.433284,0,100000,113.272823,85288,0,6707736,85288,-1,2021-08-21.14:50:01
rmat-1m-8m,999760,7810950,1,3,391.575069,0,100000,318.616788,99399,0,40791472,99399,-1,2021-08-21.14:50:05
ssca2,1048577,157877986,1,3,1939.599329,0,100000,1054.422357,1593552,0,241123396,1593552,-1,2021-08-21.14:51:02
