model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,batch-repeat,snum,assert,date
er-1m-8m,1000000,8000000,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:12:53
livej,4847571,68993773,1,3,139.844642,100000,0,132.802201,176536,181212,184141,2783411,-1,100000,-1,2021-10-14.00:13:26
livej,4847571,68993773,1,3,189.015061,100000,0,151.989730,152296,168324,189402,2577104,-1,200000,-1,2021-10-14.00:13:59
livej,4847571,68993773,1,3,269.682093,100000,0,117.163742,129643,159161,219910,1924870,-1,400000,-1,2021-10-14.00:14:32
livej,4847571,68993773,1,3,399.669968,100000,0,122.045448,116186,161248,335939,1626767,-1,800000,-1,2021-10-14.00:15:06
livej,4847571,68993773,1,3,609.868962,100000,0,126.148672,109354,163302,625098,1359803,-1,1600000,-1,2021-10-14.00:15:41
livej,4847571,68993773,1,3,935.514632,100000,0,131.530887,108282,161406,1016763,1203423,-1,3200000,-1,2021-10-14.00:16:16
livej,4847571,68993773,1,3,1423.775927,100000,0,146.301347,104852,161036,1986578,1050397,-1,6400000,-1,2021-10-14.00:16:53
livej,4847571,68993773,1,3,2172.198125,100000,0,162.463137,103183,157162,3312296,928235,-1,12800000,-1,2021-10-14.00:17:33
livej,4847571,68993773,1,3,3373.571643,100000,0,189.103130,103166,151258,5730682,820802,-1,25600000,-1,2021-10-14.00:18:18
livej,4847571,68993773,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:18:49
livej,4847571,68993773,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:19:20
patent,6009555,16518948,1,3,178.147433,100000,0,255.769545,188817,189364,189434,4142683,-1,100000,-1,2021-10-14.00:19:42
patent,6009555,16518948,1,3,236.761114,100000,0,177.407113,170175,173673,174684,3016533,-1,200000,-1,2021-10-14.00:20:05
patent,6009555,16518948,1,3,336.266712,100000,0,142.097605,142751,157071,165635,2352376,-1,400000,-1,2021-10-14.00:20:28
patent,6009555,16518948,1,3,506.602557,100000,0,116.272493,116844,153997,204165,1715285,-1,800000,-1,2021-10-14.00:20:51
patent,6009555,16518948,1,3,787.243232,100000,0,127.994051,114979,163728,308549,1566002,-1,1600000,-1,2021-10-14.00:21:16
patent,6009555,16518948,1,3,1218.766265,100000,0,138.302849,105780,169212,540242,1314702,-1,3200000,-1,2021-10-14.00:21:41
patent,6009555,16518948,1,3,1843.254034,100000,0,158.053036,105225,176871,975483,1176807,-1,6400000,-1,2021-10-14.00:22:09
patent,6009555,16518948,1,3,2794.363535,100000,0,178.797841,100734,176412,1788208,1017727,-1,12800000,-1,2021-10-14.00:22:40
patent,6009555,16518948,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:22:59
patent,6009555,16518948,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:23:18
patent,6009555,16518948,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:23:38
pokec,1632804,30622564,1,3,49.457832,100000,0,109.775875,170346,174922,176161,2557777,-1,100000,-1,2021-10-14.00:23:54
pokec,1632804,30622564,1,3,91.344786,100000,0,113.354338,129419,155005,169830,2059612,-1,200000,-1,2021-10-14.00:24:11
pokec,1632804,30622564,1,3,155.171181,100000,0,112.271304,120809,175727,290191,1670261,-1,400000,-1,2021-10-14.00:24:29
pokec,1632804,30622564,1,3,249.814032,100000,0,116.644094,101271,165741,435863,1347984,-1,800000,-1,2021-10-14.00:24:46
pokec,1632804,30622564,1,3,383.232210,100000,0,126.679437,87240,171203,712682,1099397,-1,1600000,-1,2021-10-14.00:25:04
pokec,1632804,30622564,1,3,554.912246,100000,0,321.769627,170079,354468,4163504,1559492,-1,3200000,[0m,,2021-10-14.00:25:22
pokec,1632804,30622564,1,3,811.985622,100000,0,170.002720,86985,167346,2438378,898968,-1,6400000,-1,2021-10-14.00:25:42
pokec,1632804,30622564,1,3,1204.851427,100000,0,227.823277,85314,173880,4632462,811270,-1,12800000,-1,2021-10-14.00:26:04
pokec,1632804,30622564,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:26:19
pokec,1632804,30622564,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:26:35
pokec,1632804,30622564,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:26:50
rmat-1m-8m,999760,7810950,1,3,29.707782,100000,0,81.838740,118139,170130,644923,1604957,-1,100000,-1,2021-10-14.00:26:53
