model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,relabel,tag,subtag,assert,Insert,Delete,date
wiki_talk_en,-1,-1,8,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2794.52,1045.06,2022-09-22.18:33:46
ba-1m-8m,1000000,7999964,16,4,520.916860,100000,0,75.287779,21425,164401,1481522,0,0,89239,-1,-1,-1,2022-09-22.18:33:52
ba-1m-8m,1000000,7999964,16,4,490.898618,0,100000,25.573773,21783,0,147382,0,0,0,-1,-1,-1,2022-09-22.18:33:56
ba-1m-8m,-1,-1,16,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21671.7,272.003,2022-09-22.18:34:32
baidu,2141301,17794839,16,4,1484.475887,100000,0,152.429279,97706,130738,6126130,7,8,20569,-1,-1,-1,2022-09-22.18:35:03
baidu,2141301,17794839,16,4,1476.591045,0,100000,85.344634,94139,0,3366663,0,0,0,-1,-1,-1,2022-09-22.18:35:32
baidu,-1,-1,16,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,819.566,501.46,2022-09-22.18:36:04
dbpedia,3966925,13820853,16,4,1921.199907,100000,0,103.174815,97915,124828,1342066,13,15,16580,-1,-1,-1,2022-09-22.18:36:24
dbpedia,3966925,13820853,16,4,1887.316438,0,100000,535.085680,100787,0,906732,0,0,0,-1,-1,-1,2022-09-22.18:36:44
dbpedia,-1,-1,16,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,823.501,381.625,2022-09-22.18:37:14
er-1m-8m,1000000,8000000,16,4,770.244846,100000,0,31.818406,38077,64585,521768,0,0,15214,-1,-1,-1,2022-09-22.18:37:26
er-1m-8m,1000000,8000000,16,4,788.843438,0,100000,19.095394,33755,0,339390,0,0,0,-1,-1,-1,2022-09-22.18:37:36
er-1m-8m,-1,-1,16,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2134.64,200.471,2022-09-22.18:37:53
livej,4847571,68993773,16,4,4822.205671,100000,0,164.754716,113598,159259,6440928,5,5,28050,-1,-1,-1,2022-09-22.18:38:57
livej,4847571,68993773,16,4,4818.532960,0,100000,74.489162,104636,0,4559851,0,0,0,-1,-1,-1,2022-09-22.18:39:58
livej,-1,-1,16,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,509.517,466.461,2022-09-22.18:41:34
patent,6009555,16518948,16,4,3579.047792,100000,0,97.302746,103707,179877,1797382,29,31,50939,-1,-1,-1,2022-09-22.18:42:17
patent,6009555,16518948,16,4,3562.983914,0,100000,45.081389,95606,0,1014631,0,0,0,-1,-1,-1,2022-09-22.18:42:58
patent,-1,-1,16,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1254.53,351.8,2022-09-22.18:43:44
pokec,1632804,30622564,16,4,1577.785036,100000,0,94.114386,83835,144759,3884685,26,29,40094,-1,-1,-1,2022-09-22.18:44:14
pokec,1632804,30622564,16,4,1582.531879,0,100000,44.632185,75181,0,2020283,0,0,0,-1,-1,-1,2022-09-22.18:44:43
pokec,-1,-1,16,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1867.72,410.78,2022-09-22.18:45:31
rmat-1m-8m,999760,7810950,16,4,436.925848,100000,0,299.654710,99952,132916,17936934,3,3,20156,-1,-1,-1,2022-09-22.18:45:35
rmat-1m-8m,999760,7810950,16,4,433.700856,0,100000,173.037106,95346,0,14514427,0,0,0,-1,-1,-1,2022-09-22.18:45:38
