model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,date
pokec,1632804,30622564,1,3,2300.410935,0,100000,147.475493,85464,0,0,85464,2021-08-10.23:05:46
rmat-1m-8m,999760,7810950,1,3,502.726471,0,100000,458.318523,100475,0,0,100475,2021-08-10.23:05:54
ssca2,1048577,157877986,1,3,2107.323738,0,100000,1245.016264,1587752,0,0,1587752,2021-08-10.23:07:10
wiki-links,5710993,130160392,1,3,10526.888769,0,100000,1180.192260,185042,0,0,185042,2021-08-10.23:09:58
wikitalk,2394385,5021410,1,3,610.890627,0,100000,13842.906221,100598,0,0,100598,2021-08-10.23:10:15
wiki_talk_en,2987536,24981163,1,3,879.572247,0,100000,45024.745989,99930,0,0,99930,2021-08-10.23:11:08
ba-1m-8m,1000000,7999964,1,2,781.636300,100000,0,1813.644460,21939,111324,1831963,0,2021-08-10.23:11:37
baidu,2141301,17794839,1,2,1717.379256,100000,0,509.564929,102647,123269,14395470,0,2021-08-10.23:12:12
dbpedia,3966925,13820853,1,2,2191.383023,100000,0,412.110339,101208,117602,2376172,0,2021-08-10.23:12:38
er-1m-8m,1000000,8000000,1,2,975.745530,100000,0,632.892943,39616,55048,662196,0,2021-08-10.23:13:10
livej,4847571,68993773,1,2,5197.730406,100000,0,631.635304,112505,140464,11018513,0,2021-08-10.23:14:26
patent,6009555,16518948,1,2,3688.201048,100000,0,1590.269125,107136,157102,2401002,0,2021-08-10.23:15:23
pokec,1632804,30622564,1,2,2055.931637,100000,0,758.448514,85940,126616,6192921,0,2021-08-10.23:16:02
rmat-1m-8m,999760,7810950,1,2,744.820371,100000,0,391.889835,100259,120175,30214517,0,2021-08-10.23:16:08
ssca2,1048577,157877986,1,2,1440.951507,100000,0,2438.123143,1589292,1649603,125105691,0,2021-08-10.23:17:40
wiki-links,5710993,130160392,1,2,9224.841983,100000,0,1786.402639,190159,206255,55052351,0,2021-08-10.23:20:41
wikitalk,2394385,5021410,1,2,802.982898,100000,0,356.798802,100638,105787,14343040,0,2021-08-10.23:20:47
wiki_talk_en,2987536,24981163,1,2,1344.058959,100000,0,880.980459,101096,106853,25176782,0,2021-08-10.23:20:58
ba-1m-8m,1000000,7999964,1,3,850.348133,100000,0,300.074821,22196,166781,1838700,358365,2021-08-10.23:21:09
baidu,2141301,17794839,1,3,1643.098802,100000,0,268.202694,98834,132662,10071651,824088,2021-08-10.23:21:43
dbpedia,3966925,13820853,1,3,1918.212760,100000,0,149.812622,101215,127976,1761478,1122419,2021-08-10.23:23:00
er-1m-8m,1000000,8000000,1,3,1171.577395,100000,0,101.218386,39521,66252,659299,430928,2021-08-10.23:23:17
livej,4847571,68993773,1,3,5334.625147,100000,0,549.697204,111873,159412,11485924,775115,2021-08-10.23:24:47
patent,6009555,16518948,1,3,3761.272017,100000,0,284.505585,106468,181241,2421340,997749,2021-08-10.23:26:55
pokec,1632804,30622564,1,3,2312.924794,100000,0,276.503406,86838,148692,6200572,720719,2021-08-10.23:27:30
rmat-1m-8m,999760,7810950,1,3,558.935335,100000,0,457.514158,100415,134090,31108145,636298,2021-08-10.23:27:35
ssca2,1048577,157877986,1,3,2084.203483,100000,0,11531.128173,1590250,1680491,126073926,11962931,2021-08-10.23:29:05
wiki-links,5710993,130160392,1,3,10241.420813,100000,0,5428.418915,189140,218055,56432222,780441,2021-08-10.23:32:27
wikitalk,2394385,5021410,1,3,604.584595,100000,0,269.970275,99855,108390,12751057,1056426,2021-08-10.23:32:32
wiki_talk_en,2987536,24981163,1,3,878.912564,100000,0,424.829627,99915,109649,21507067,940833,2021-08-10.23:33:26
ba-1m-8m,1000000,7999964,1,2,775.260006,0,100000,333.886639,21914,0,0,0,2021-08-10.23:33:53
baidu,2141301,17794839,1,2,1665.779666,0,100000,505.478252,103247,0,0,0,2021-08-10.23:34:28
dbpedia,3966925,13820853,1,2,2141.277958,0,100000,882.579031,100492,0,0,0,2021-08-10.23:34:55
er-1m-8m,1000000,8000000,1,2,998.226925,0,100000,474.210146,39469,0,0,0,2021-08-10.23:35:27
livej,4847571,68993773,1,2,5185.274235,0,100000,436.273651,112288,0,0,0,2021-08-10.23:36:42
patent,6009555,16518948,1,2,3649.664347,0,100000,498.835550,105475,0,0,0,2021-08-10.23:37:38
pokec,1632804,30622564,1,2,1953.525937,0,100000,445.968991,88078,0,0,0,2021-08-10.23:38:18
rmat-1m-8m,999760,7810950,1,2,544.054983,0,100000,430.154868,100357,0,0,0,2021-08-10.23:38:24
ssca2,1048577,157877986,1,2,1387.103256,0,100000,2063.847802,1592336,0,0,0,2021-08-10.23:39:56
wiki-links,5710993,130160392,1,2,9581.422923,0,100000,1309.875679,185360,0,0,0,2021-08-10.23:42:58
wikitalk,2394385,5021410,1,2,808.372969,0,100000,452.326630,100754,0,0,0,2021-08-10.23:43:03
wiki_talk_en,2987536,24981163,1,2,1307.541961,0,100000,797.276175,100055,0,0,0,2021-08-10.23:43:14
ba-1m-8m,1000000,7999964,1,3,794.393042,0,100000,44.373939,22091,0,0,22091,2021-08-10.23:43:24
baidu,2141301,17794839,1,3,1661.672449,0,100000,299.314244,98815,0,0,98815,2021-08-10.23:43:56
dbpedia,3966925,13820853,1,3,1935.029979,0,100000,825.738610,100872,0,0,100872,2021-08-10.23:45:05
er-1m-8m,1000000,8000000,1,3,1253.900779,0,100000,50.236422,38826,0,0,38826,2021-08-10.23:45:17
livej,4847571,68993773,1,3,5629.338034,0,100000,237.664312,112343,0,0,112343,2021-08-10.23:46:23
patent,6009555,16518948,1,3,3789.645336,0,100000,102.008584,106349,0,0,106349,2021-08-10.23:48:22
pokec,1632804,30622564,1,3,2339.562069,0,100000,150.691652,86796,0,0,86796,2021-08-10.23:48:54
rmat-1m-8m,999760,7810950,1,3,542.984058,0,100000,465.287346,100794,0,0,100794,2021-08-10.23:48:59
ssca2,1048577,157877986,1,3,2080.350558,0,100000,3811.485020,1588733,0,0,1588733,2021-08-10.23:50:18
wiki-links,5710993,130160392,1,3,10606.420226,0,100000,1198.675985,187627,0,0,187627,2021-08-10.23:53:06
wikitalk,2394385,5021410,1,3,613.570454,0,100000,412.823930,100577,0,0,100577,2021-08-10.23:53:23
wiki_talk_en,2987536,24981163,1,3,876.781841,0,100000,1236.340690,101057,0,0,101057,2021-08-10.23:53:32
ba-1m-8m,1000000,7999964,1,2,770.082492,100000,0,1870.982140,21871,111908,1887463,0,2021-08-10.23:54:00
baidu,2141301,17794839,1,2,1685.185912,100000,0,599.734212,97682,119321,10198548,0,2021-08-10.23:54:36
dbpedia,3966925,13820853,1,2,2172.054861,100000,0,429.079058,101263,118104,1912400,0,2021-08-10.23:55:02
er-1m-8m,1000000,8000000,1,2,982.242358,100000,0,792.835258,39552,55298,665724,0,2021-08-10.23:55:34
livej,4847571,68993773,1,2,5168.272902,100000,0,643.331816,113607,141467,11104902,0,2021-08-10.23:56:50
patent,6009555,16518948,1,2,3845.854194,100000,0,1186.561744,105154,155358,2388297,0,2021-08-10.23:57:49
pokec,1632804,30622564,1,2,2072.747599,100000,0,1212.954530,85915,126677,6118154,0,2021-08-10.23:58:30
rmat-1m-8m,999760,7810950,1,2,587.154873,100000,0,373.004685,99394,119444,28166619,0,2021-08-10.23:58:35
ssca2,1048577,157877986,1,2,1402.762861,100000,0,2436.686746,1590220,1650600,125298862,0,2021-08-11.00:00:07
wiki-links,5710993,130160392,1,2,9562.067095,100000,0,1230.915838,188115,205038,57005801,0,2021-08-11.00:03:10
wikitalk,2394385,5021410,1,2,794.170633,100000,0,361.682457,100611,105762,14150638,0,2021-08-11.00:03:16
wiki_talk_en,2987536,24981163,1,2,1289.379647,100000,0,483.495278,100033,105727,21583977,0,2021-08-11.00:03:26
