model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,batch-repeat,assert,date
rmat-1m-8m,999760,7810950,1,2,414.837647,100000,0,340.514937,99503,119821,28592004,0,-1,-1,2021-10-10.16:36:13
roadNetCA,1971281,5533214,1,2,598.104652,100000,0,458.648249,61600,203582,616519,0,-1,-1,2021-10-10.16:36:19
ssca2,1048577,157877986,1,2,1013.363038,100000,0,2183.686606,1590911,1652979,125454988,0,-1,-1,2021-10-10.16:37:22
wiki-links,5710993,130160392,1,2,9227.564030,100000,0,1055.060696,188706,206642,57364389,0,-1,-1,2021-10-10.16:39:41
wikitalk,2394385,5021410,1,2,532.483163,100000,0,307.183497,100598,106032,14884718,0,-1,-1,2021-10-10.16:39:45
wiki_talk_en,2987536,24981163,1,2,749.440086,100000,0,461.417065,101108,106983,25543540,0,-1,-1,2021-10-10.16:39:53
ba-1m-8m,1000000,7999964,1,3,545.677677,0,100000,34.726586,22169,0,155486,22169,-1,-1,2021-10-10.16:39:59
baidu,2141301,17794839,1,3,1289.287843,0,100000,326.343713,103224,0,10444020,103224,-1,-1,2021-10-10.16:40:23
dbpedia,3966925,13820853,1,3,1500.517487,0,100000,565.915074,100570,0,939013,100570,-1,-1,2021-10-10.16:40:40
er-1m-8m,1000000,8000000,1,3,865.816656,0,100000,39.627282,39510,0,435368,39510,-1,-1,2021-10-10.16:40:49
livej,4847571,68993773,1,3,4626.629453,0,100000,192.935075,113227,0,8789288,113227,-1,-1,2021-10-10.16:41:38
patent,6009555,16518948,1,3,3251.707954,0,100000,85.457533,108250,0,1528766,108250,-1,-1,2021-10-10.16:42:11
pokec,1632804,30622564,1,3,1716.156410,0,100000,118.418187,86005,0,3446772,86005,-1,-1,2021-10-10.16:42:34
rmat-1m-8m,999760,7810950,1,3,384.568703,0,100000,364.275703,99503,0,20375246,99503,-1,-1,2021-10-10.16:42:39
